source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"However, as the life expectancy of people rises, population ageing problem becomes more and more severe as a global phenomenon.","However, as the life expectancy of people rises, population ageing problems become more and more severe as a global phenomenon.","4,3,4,2,3","4,3,4,2,2","4,4,4,3,2",smt,3.2,3.0,3.4
It is proud to have the ageing population which is hard to achieve unless there are advance medical technology and higher living standard.,It is proud to have an ageing population which is hard to achieve unless there is advanced medical technology and a higher living standard.,"4,3,3,2,3","4,3,3,2,2","4,3,4,3,2",transformer,3.0,2.8,3.2
"With illnesses surfacing and the increase in ageing population, increasing amount of nurses and doctors will have to be present.","With illnesses surfacing and the increase in ageing population, an increasing number of nurses and doctors will have to be present.","4,4,3,3,2","4,4,3,3,2","4,3,4,3,4",copy-net,3.2,3.2,3.6
"Back to the ancient days, when human beings firstly appeared on the earth, the average life expectancy is only less than 20.","Back to the ancient days, when human beings first appeared on the Earth, the average life expectancy is less than 20.","4,4,3,3,2","4,4,3,3,1","4,2,4,3,4",smt,3.2,3.0,3.4
In most countries healthcare are provided freely from government.,"In most countries, healthcare is provided freely from government.","4,3,3,2,4","4,3,3,2,4","4,3,4,3,4",smt,3.2,3.2,3.6
"As with the world is becoming more and more advanced, people are leading a more and more comfortable life.","As the world is becoming more and more advanced, people are leading a more comfortable life.","4,4,4,2,4","4,4,4,2,4","4,3,3,3,4",smt,3.6,3.6,3.4
This seems to be a gratifying progress at the first sight.,This seems to be a gratifying progress at first sight.,"4,2,4,2,2","4,2,4,2,2","4,3,4,3,4","smt,lstm,copy-net,transformer",2.8,2.8,3.6
"If some bad people want to track someone for their personal purposes, by hacker technology, they can use government tracking system to do their own business.","If some bad people want to track someone for their personal purposes, by hacker technology, they can use a government tracking system to do their own business.","4,3,3,3,3","4,3,3,3,2","4,3,4,3,4",copy-net,3.2,3.0,3.6
Their lives are becoming meaningless and a lot of them had chosen to suicide without giving troubles to the others.,Their lives becoming meaningless and a lot of them had chosen suicide without giving troubles to others.,"3,3,3,2,2","3,3,2,2,1","4,3,4,2,3",lstm,2.6,2.2,3.2
It gives the police a better control of the criminal.,It gives the police better control of the criminal.,"4,4,4,3,4","4,4,4,3,4","4,3,4,3,4",lstm,3.8,3.8,3.6
"However, since the space and resource on earth is very limited, higher life expectancy means more people will live on the earth at the same time and more fierce competition for food and space is unavoidable.","However, since space and resources on earth are very limited, higher life expectancy means more people will live on the earth at the same time and more fierce competition for food and space is unavoidable.","4,3,4,3,3","4,3,4,4,4","4,3,4,3,4","lstm,copy-net",3.4,3.8,3.6
"For example, it becomes hard for them to earn their livings; they may feel lonely especially if their spouses died; they may suffer from all kinds of diseases.","For example, it becomes hard for them to earn their living; they may feel lonely especially if their spesses die; they may suffer from all kinds of diseases.","3,2,4,2,1","3,3,4,2,1","3,3,4,2,0",transformer,2.4,2.6,3.0
The population ageing is now a heated expression in individuals' lives.,The population ageing is now a heated expression in individuals' lives.,"3,3,4,4,1","3,3,3,4,1","4,4,4,4,0","lstm,copy-net,cnn",3.0,2.8,4.0
The increasing in population of a country makes the government taking more difficulties of registers the members of each individual family and hence other factors existed as an obstacle of country development.,The increasing population of a country makes the government have more difficulties of registers the members of each individual family and hence other factors existed as an obstacle of country development.,"3,2,3,2,2","3,2,3,2,1","4,3,4,2,4",cnn,2.4,2.2,3.4
"For example, making ordinary people not allowed to use that and do not let the surveillance device accessible to the ordinary people so that abuse usage of surveillance technology can be avoided, which is also a effective way to protect human right.","For example, making ordinary people not allowed to use that and do not let the surveillance device accessible to the ordinary people so that abuse usage of surveillance technology can be avoided, which is also an effective way to protect human rights.","3,2,2,1,1","3,2,2,1,1","4,2,4,3,0",transformer,1.8,1.8,3.25
"Take Singapore for example, these are installed from highly secured places such as Government sectors to working places, from condominiums to housing development board houses, and even from school canteens to toilets!","Take Singapore for example, these are installed from highly secured places such as government sectors to work places, from condominiums to housing development boards houses, and even from school canteens to toilets!","4,3,3,3,2","4,3,3,3,2","4,3,4,3,4",cnn,3.0,3.0,3.6
It may leads a shorter ways to the decision and provide more sales and revenue for company.,It may lead a shorter way to the decision and provide more sales and revenue for the company.,"3,2,3,2,1","4,2,3,2,1","4,3,3,3,0","lstm,transformer",2.2,2.4,3.25
"At that time, even if there is no surveillance above people's heads, there are surveillances in everyone's heart and criminals are more difficult to hide.","At that time, even if there is no surveillance above people's heads, there are surveillances in everyone's heart and criminals are more difficult to hide.","3,3,4,3,3","3,3,3,3,2","4,3,4,4,4",smt,3.2,2.8,3.8
"For example, the tsunami in Tohoku of Japan in 2011 is "" the toughest and the most difficult crisis for Japan in the 65 years after the end of World War II "" as CNN commented.","For example, the tsunami in Tohoku of Japan in 2011 is "" the hardest and the most difficult crisis for Japan in 65 years after the end of World War II "" as CNN commented.","4,3,4,4,3","4,3,4,4,2","4,3,2,3,4",transformer,3.6,3.4,3.2
There is needless to doubt that the medical technology has enhanced day by day.,There is needless to doubt that medical technology has been enhanced day by day.,"3,2,3,3,1","3,2,2,3,1","4,3,3,3,0","copy-net,cnn",2.4,2.2,3.25
"Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support livings, it is the limit of the quantity of people that can live.","Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support livings, is the limit of the quantity of people that can live.","3,2,3,4,3","3,2,3,4,1","4,3,4,4,4",lstm,3.0,2.6,3.8
"Therefore, the surveillance technology should not be used except for some specific jobs.","Therefore, the surveillance technology should not be used except for some specific jobs.","4,4,4,4,2","4,4,4,4,2","4,4,4,4,4","smt,copy-net,cnn",3.6,3.6,4.0
Maybe that's one reason for the reducing of the birth rate.,Maybe that's one reason for reducing the birth rate.,"4,4,4,4,4","4,4,4,4,4","4,4,4,3,4","smt,copy-net,transformer",4.0,4.0,3.8
The challenge will be increase the quality of life while being environmentally sustainable.,The challenge will be increasing the quality of life while being environmentally sustainable.,"4,4,4,3,4","4,4,4,2,4","4,3,4,3,4",smt,3.8,3.6,3.6
"There is no absolute perfect way, so we have done a good job on the road.","There is no absolute perfect way, so we did a good job on the road.","4,4,4,4,1","4,4,4,4,1","4,3,3,3,0",copy-net,3.4,3.4,3.25
Risks can be analyzed if there is a record of what was happened in the past.,Risks can be analyzed if there is a record of what happened in the past.,"4,4,4,2,4","4,4,4,2,4","4,3,3,2,4","smt,lstm,copy-net,cnn",3.6,3.6,3.2
"Trends of the highly emotionally and easily manipulated humans can be tracked, analysis, archived and chronicled.","Trends of the highly emotionally and easily manipulated humans can be tracked, analysis, archived and chronicled.","4,3,3,4,3","4,3,3,4,3","4,4,4,4,4","copy-net,cnn",3.4,3.4,4.0
"Furthermore, thanks to the development of technology, that the birth rate is increasing while the death rate is decreasing accelerates population aging and increasing.","Furthermore, thanks to the development of technology, the birth rate is increasing while the death rate is decreasing accelerates population aging and increasing.","3,3,3,2,3","3,3,3,2,2","3,3,4,4,3","lstm,copy-net,cnn",2.8,2.6,3.4
"Thus, when a man with a 'terrorism tag' entering a junction or a plaza full of people police should notice this and observe the man's behavior as well as checking his package to prevent him from explode TNT.","Thus, when a man with a 'terrorist tag' entering a junction or a plaza full of people police should notice this and observe the man's behavior as well as checking his package to prevent him from explode TNT.","4,3,3,3,2","4,3,3,2,2","4,4,4,4,3",lstm,3.0,2.8,3.8
"It is a break-through of technology and science, and an outstanding achievement of human wisdom.","It is a breakthrough in science and technology, and an outstanding achievement of human wisdom.","4,3,4,4,4","4,3,4,4,4","4,3,4,4,3",smt,3.8,3.8,3.6
"However, it is considered as an achievement as there is low competency in workforce.","However, it is considered as an achievement as there are low competency in the workforce.","4,3,3,3,3","4,3,3,2,3","4,3,4,4,3",smt,3.2,3.0,3.6
"However, in some opinions, these auto-tracking services break the rule of privacy.","However, in some opinions, these auto-tracking services break the rules of privacy.","4,3,4,4,3","4,3,4,4,3","4,3,4,4,3",smt,3.6,3.6,3.6
"In the transportation, almost all of the people have transport cards for daily transport.","In transportation, almost all people have transport cards for daily transport.","3,3,4,4,3","3,3,4,3,3","3,3,4,4,3","copy-net,transformer",3.4,3.2,3.4
